REID,Pin Num,Land Value , Bldg Value , Misc Imprv Value ,  Deferred & Exempt Value,Total Taxable Value
4867,8685583676,10000,16907,50,0,26957
4869,8684367264,20000,59854,2404,0,82258
4871,8684255999,20700,175986,375,0,197061
4872,8622905981,114100,184427,44902,38120,305309
4874,8685448459,57305,439320,69835,0,566460
4875,8685520660,10000,80438,700,0,91138
4876,8686131483,13000,52768,550,0,66318
4882,8663732922,12500,4794,0,0,17294
4884,8695273090,18650,27461,9000,0,55111
4887,8695231890,9000,23301,500,0,32801
4888,8695107912,9000,46504,200,0,55704
4889,8642595480,10075,14879,0,0,24954
4897,8684492790,10000,89664,700,0,100364
4898,8683865323,29600,765,400,0,30765
4900,8684911674,16901,35434,23538,0,75873
4903,8695246075,9000,12910,0,0,21910
4909,8695342381,9000,14406,0,0,23406
4912,8685429134,13000,15218,200,0,28418
4913,8685545390,9000,53153,1500,0,63653
4915,8685520572,10000,85828,31635,0,127463
4916,8673112016,10000,594,0,0,10594
4917,8695456111,40115,9066,0,0,49181
4918,8632169811,16725,168116,26743,0,211584
4919,8673104153,8000,448,0,0,8448
4924,8684815074,18000,136463,0,0,154463
4925,8622973441,16250,256448,4598,0,277296
4936,8673028050,8000,83961,8400,0,100361
4940,8622804505,13000,32143,0,0,45143
4942,8686549238,184888,7160,0,90290,101758
4944,8673298408,10000,2691,500,0,13191
4946,8684708638,16250,205988,1400,0,223638
4948,8622950746,8000,49510,100,0,57610
4950,7642796509,0,7944,0,0,7944
4958,8653237344,5000,111639,612,0,117251
4961,8684736971,14000,42434,1800,0,58234
4967,8673111253,10000,399,0,0,10399
4968,8673028120,8000,140186,1400,0,149586
4969,8674018391,11000,64828,0,0,75828
4970,8653237344,0,87560,600,0,88160
4976,8673390027,98556,35859,2000,0,136415
4979,8671076612,22250,5972,0,0,28222
4983,8632264784,15000,39985,0,0,54985
4987,8632353480,216725,45913,38749,115160,186227
4988,7647656240,15000,82402,1504,0,98906
4990,8663632553,9000,56350,0,0,65350
4991,8685479000,11000,108025,100,0,119125
4993,7642796509,0,632,800,0,1432
4998,8694489275,11525,61840,351,0,73716
4999,8683133834,22675,153122,6000,0,181797
5006,8696708100,26000,551,0,0,26551
5009,8695224145,12000,119655,500,0,132155
5011,9999999999,14500,87709,0,0,102209
5014,8632085755,10000,12684,0,0,22684
5017,8632757805,235920,114224,0,127216,222928
5019,7691620872,13000,44574,300,0,57874
5025,8661784675,51044,124422,300,0,175766
5034,8673535625,15200,67981,1100,0,84281
5039,8674743200,14000,41789,3304,0,59093
5050,8661689183,13500,5492,900,0,19892
5051,8674101938,11000,88045,17902,0,116947
5055,8695034706,8000,30946,500,0,39446
5056,8685522248,15750,87323,200,0,103273
5061,8673443704,17500,54956,25535,0,97991
5068,8694365254,26806,1238,0,0,28044
5070,8661789208,24000,680,0,0,24680
5074,8632585246,64255,280353,0,0,344608
5077,8695549087,54000,124474,12026,0,190500
5081,8695106296,10000,37231,200,0,47431
5090,8685573827,16950,100525,5902,0,123377
5096,8683948513,29950,10033,0,0,39983
5097,8683743916,9000,33302,400,0,42702
5098,8684171350,17650,21084,0,0,38734
5100,8695107478,10000,86829,3800,0,100629
5103,8674933286,570300,89456,10900,351920,318736
5108,8693388434,24000,58829,0,0,82829
5110,8684737846,14000,58317,6799,0,79116
5111,8695316091,15000,41386,100,0,56486
5112,8695338835,20000,142,500,0,20642
5114,8695432247,215250,3154,18006,0,236410
5117,8663635475,8000,19599,0,0,27599
5127,8661783180,17700,0,0,0,17700
5130,8695346978,9000,42712,300,0,52012
5131,8674963930,15000,56428,600,0,72028
5135,8685792324,10000,52205,0,0,62205
5137,8663633547,3400,121727,0,0,125127
5141,8685543136,15000,36110,0,0,51110
5142,8684181242,14250,15007,0,0,29257
5143,8695239699,25000,8306,0,0,33306
5146,8685697169,9000,53587,200,0,62787
5147,9999999999,10000,4058,5000,0,19058
5150,8685545046,51450,355318,0,406768,0
5152,8685790239,14000,55754,50,0,69804
5153,8685696174,11000,33008,0,0,44008
5161,8663636459,3400,2890,0,0,6290
5163,8685693073,9000,92223,3399,0,104622
5164,8661882206,26000,26747,200,0,52947
5168,8684083219,12000,20524,0,0,32524
5171,8685689908,10000,20545,0,0,30545
5173,8695541053,12000,151341,1500,0,164841
5174,8695540067,12000,9787,0,0,21787
5175,8695541005,12000,177,0,0,12177
5178,8695319454,15044,38842,0,0,53886
5180,8695317213,15000,71372,15,0,86387
5184,8661732414,523490,17585,105486,267113,379448
5186,8663634558,8000,15229,102,0,23331
5189,8684276413,17000,25656,500,0,43156
5191,8661678532,18700,20576,19999,0,59275
5196,8673246689,0,702,5800,0,6502
5202,8661695103,19250,43278,15,0,62543
5205,8694125018,64650,137698,2305,0,204653
5210,8694158731,11000,75581,2700,0,89281
5211,8694251268,49832,10819,0,0,60651
5212,8673114139,4000,57437,0,0,61437
5213,8684272375,8000,145154,0,0,153154
5214,8632269748,13000,61764,3000,0,77764
5218,8611650165,17075,34140,2000,0,53215
5221,8686219716,8000,14936,0,0,22936
5224,8695257145,10000,56979,0,0,66979
5225,8673029832,8000,898,100,0,8998
